Official tag,Category,Birth weight (kg),05/11/2019,06/11/2019,02/12/2019,08/01/2020,04/02/2020,03/03/2020,11/04/2020,15/04/2020,15/05/2020,13/06/2020,13/07/2020,13/08/2020,23/09/2020,14/10/2020,03/11/2020,03/12/2020,08/12/2020,11/01/2021,14/01/2021,21/01/2021,16/02/2021,17/03/2021,13/04/2021,20/04/2021,26/04/2021,13/05/2021,07/06/2021,18/06/2021,21/06/2021,16/07/2021,22/07/2021,03/08/2021,13/08/2021,01/09/2021,13/09/2021,28/09/2021,11/10/2021,26/10/2021,08/11/2021,09/11/2021,10/11/2021,12/11/2021,16/11/2021,09/12/2021,05/01/2022,14/01/2022,25/01/2022,16/02/2022,16/03/2022,17/03/2022,12/04/2022,13/04/2022,05/05/2022,07/06/2022,08/06/2022,05/07/2022,06/07/2022,03/08/2022,11/08/2022,25/08/2022,07/09/2022,11/10/2022,20/10/2022,21/10/2022,28/10/2022,10/11/2022,11/11/2022,15/12/2022,17/01/2023,14/02/2023,15/03/2023,16/03/2023,11/05/2023,23/05/2023,12/06/2023,19/06/2023
UK 362735 202147,Cattle,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,398,NA,NA,430,465,488,NA,NA,492,522,NA,524,550,NA,538,NA,NA,582,NA,602,NA,NA,NA,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202154,Cattle,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,NA,370,NA,396,419,NA,452,NA,434,450,427,NA,462,NA,477,477,NA,495,NA,526,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202175,Cattle,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,NA,374,NA,395,421,440,NA,NA,474,512,NA,524,546,NA,572,575,NA,610,NA,638,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202182,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,319,NA,348,379,401,NA,NA,424,461,NA,472,493,NA,500,NA,NA,524,NA,574,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202203,Cattle,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,NA,NA,NA,373,NA,374,NA,403,NA,452,475,NA,467,500,NA,NA,550,568,NA,NA,570,590,600,NA,NA,602,NA,594,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202224,Cattle,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,NA,NA,NA,400,NA,429,NA,460,489,NA,NA,502,504,NA,520,544,NA,576,NA,NA,588,NA,618,NA,NA,NA,608,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202238,Cattle,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,399,NA,421,NA,429,NA,446,483,NA,492,530,NA,NA,570,604,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202245,Cattle,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,NA,NA,NA,438,NA,441,NA,457,NA,434,460,NA,495,538,NA,NA,598,632,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202266,Cattle,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,370,NA,416,NA,449,490,NA,NA,499,477,NA,512,538,NA,584,NA,NA,596,NA,626,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 202273,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,NA,NA,NA,NA,336,NA,373,NA,377,NA,408,449,NA,457,512,NA,NA,556,574,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
