Official tag,Category,Birth weight (kg),25/10/2016,24/11/2016,08/12/2016,22/12/2016,05/01/2017,07/02/2017,07/03/2017,12/04/2017,19/04/2017,07/06/2017,06/07/2017,01/08/2017,29/08/2017,03/10/2017,03/11/2017,09/11/2017,24/11/2017,12/12/2017,05/01/2018,10/01/2018,16/01/2018,17/01/2018,06/02/2018,13/02/2018,14/02/2018,28/02/2018,14/03/2018,21/03/2018,04/04/2018,19/04/2018,24/04/2018,22/05/2018,12/06/2018,19/06/2018,17/07/2018,07/08/2018,09/08/2018,21/08/2018,29/08/2018,10/09/2018,11/09/2018,12/09/2018,19/09/2018,09/10/2018,25/10/2018,31/10/2018,06/11/2018,09/11/2018,14/11/2018,20/11/2018,04/12/2018,05/12/2018,12/12/2018,08/01/2019,15/01/2019,14/02/2019,12/03/2019,02/04/2019,11/04/2019,30/04/2019,01/05/2019,02/05/2019,10/05/2019,13/05/2019,24/05/2019,30/05/2019,05/07/2019,30/07/2019,14/08/2019,07/09/2019,30/09/2019,01/10/2019,22/10/2019,04/11/2019,02/12/2019,17/12/2019,10/01/2020,15/01/2020
UK 362735 201860,Cattle,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,314,NA,NA,NA,337,NA,NA,NA,405,451,489,522,NA,NA,NA,NA,512,NA,NA,546,604,630,626,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 201874,Cattle,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,255,NA,NA,NA,281,NA,NA,NA,318,336,354,374,NA,NA,NA,NA,386,NA,NA,428,466,492,NA,504,528,NA,NA,534,568,NA,608,604
UK 362735 201881,Cattle,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,276,NA,NA,NA,301,NA,NA,NA,351,387,418,427,NA,NA,NA,NA,436,NA,NA,480,520,546,NA,564,582,NA,590,NA,NA,NA,NA,NA
UK 362735 201888,Cattle,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,352,NA,NA,NA,369,NA,NA,NA,412,442,463,479,NA,NA,NA,NA,474,NA,NA,500,552,574,NA,598,NA,NA,NA,620,668,676,NA,NA
UK 362735 301609,Cattle,39,198,229,239,252,261,283,299,317,NA,422,455,500,522,562,598,NA,644,662,699,NA,NA,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301616,Cattle,46,266,293,303,300,306,322,335,338,NA,411,443,475,493,522,538,NA,536,572,574,NA,NA,NA,592,NA,NA,596,NA,NA,636,638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301637,Cattle,44,NA,NA,NA,NA,NA,NA,NA,NA,397,461,442,488,506,544,560,NA,574,596,628,NA,NA,NA,670,NA,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301658,Cattle,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,339,NA,NA,362,NA,NA,407,NA,NA,448,NA,NA,NA,493,508,NA,542,588,588,NA,NA,NA,NA,614,NA,628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301672,Cattle,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,NA,423,NA,NA,435,NA,NA,466,NA,NA,494,NA,NA,NA,506,512,NA,542,598,606,NA,NA,NA,NA,622,NA,NA,648,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 301679,Cattle,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,454,NA,NA,493,NA,NA,518,NA,NA,546,NA,NA,NA,558,552,NA,596,634,646,NA,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
