Name,Field,Field Name,Farmlet,Method,Feed_Category,Sampling_Date,%dry_matter,%crude_protein,%WSC,%lipids,%NDF,%ADF,%MADF,%ADL,ME_MJ_per_kg_DM,%Ash,%Acetate,%Propionate,%Butyrate,%Lactate,%Ammonia_from_total_N,Additional Analysis
Green 16/05/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,16/05/2016 00:00:00,14.63,21.62,10.07,,42.94,22.85,23.1,2.6,11.93,8.75,,,,,,
Blue 16/05/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,16/05/2016 00:00:00,18.31,17.16,12.86,,41.06,24.6,26,2.9,11.39,7.55,,,,,,
Red 06/06/2016 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,06/06/2016 00:00:00,20,16.96,13.16,,45.79,22.95,25,2.5,11.58,8.2,,,,,,
Green 06/06/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,06/06/2016 00:00:00,17.5,21.9,8.14,,45.43,22.55,24.25,3.75,11.71,8.9,,,,,,
Blue 06/06/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,06/06/2016 00:00:00,17.09,18.8,7.65,,40.36,23.95,25.6,4.2,11.46,9,,,,,,
Red 21/06/2016 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,21/06/2016 00:00:00,22.24,21.25,9.84,,45.4,24,25.1,3.05,11.56,8.3,,,,,,
Green 21/06/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,21/06/2016 00:00:00,22.55,21.52,7.84,,46.92,22.95,24.6,3.65,11.65,8,,,,,,
Blue 21/06/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,21/06/2016 00:00:00,20.48,23.36,8.63,,31.86,19.95,21.8,2.6,12.17,8.95,,,,,,
Red 18/07/2016 Lower Wheaty Pasture,NW015,Lower Wheaty,Red,Grazing,Pasture,18/07/2016 00:00:00,23.47,22.05,12.77,,39.42,18.33,20.5,2.4,12.41,8.25,,,,,,
Green 18/07/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,18/07/2016 00:00:00,28.37,19.59,7.06,,46.49,23.05,24,3.25,11.76,8.1,,,,,,
Blue 18/07/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,18/07/2016 00:00:00,24.31,21.83,10.69,,32.85,17.6,20.05,3.6,12.49,9.45,,,,,,
Red 01/08/2016 Great Field Pasture,NW002,Great Field,Red,Grazing,Pasture,01/08/2016 00:00:00,18.74,22.81,7.15,,45.23,21.85,22.85,3.65,11.97,9.05,,,,,,
Green 01/08/2016 Burrows Pasture,NW006,Burrows,Green,Grazing,Pasture,01/08/2016 00:00:00,18.76,26.22,9.74,,44,19.65,21.95,5,12.14,8.3,,,,,,
Blue 01/08/2016 Dairy South Pasture,NW013,Dairy South,Blue,Grazing,Pasture,01/08/2016 00:00:00,18.25,25.19,7.3,,32.75,18.65,20.1,4.45,12.48,9.45,,,,,,
